locality,elev,month,day,year,cfb,temp,wd,rh,pcuring,ros,hfi,tfc0,sfl,bui,cfl,sfc0,dmc,sfc,bfc,tfc,isi,fire_occurrence,cfb_lag1,cfb_lag2,cfb_lag3,cfb_lag5,cfb_lag6,cfb_lag7,dmc_lag1,dmc_lag2,dmc_lag3,dmc_lag5,dmc_lag6,dmc_lag7,temp_lag1,temp_lag2,temp_lag3,temp_lag5,temp_lag6,temp_lag7,tfc_lag1,tfc_lag2,tfc_lag3,tfc_lag5,tfc_lag6,tfc_lag7,ros_lag1,ros_lag2,ros_lag3,ros_lag5,ros_lag6,ros_lag7,pcuring_lag1,pcuring_lag2,pcuring_lag3,pcuring_lag5,pcuring_lag6,pcuring_lag7,bfc_lag1,bfc_lag2,bfc_lag3,bfc_lag5,bfc_lag6,bfc_lag7,hfi_lag1,hfi_lag2,hfi_lag3,hfi_lag5,hfi_lag6,hfi_lag7
Altona,695.0,7,1,2023,0.0,18.4249992,34.0,27.0,95.0,5.11000013,1886.0,1.23000002,9.69323921,43.8510017,0.00484976685,1.23000002,25.5079994,1.23000002,0.35,1.23000002,8.79899979,0,0.0,0.0,0.0,0.0,0.0,0.0,25.5079994,25.5079994,25.5079994,25.5079994,25.5079994,25.5079994,18.4249992,18.4249992,18.4249992,18.4249992,18.4249992,18.4249992,1.23000002,1.23000002,1.23000002,1.23000002,1.23000002,1.23000002,5.11000013,5.11000013,5.11000013,5.11000013,5.11000013,5.11000013,95.0,95.0,95.0,95.0,95.0,95.0,0.35,0.35,0.35,0.35,0.35,0.35,1886.0,1886.0,1886.0,1886.0,1886.0,1886.0
Altona,695.0,7,2,2023,0.0,18.4249992,34.0,27.0,95.0,5.11000013,1886.0,1.23000002,9.69323921,43.8510017,0.00484976685,1.23000002,25.5079994,1.23000002,0.35,1.23000002,8.79899979,0,0.0,0.0,0.0,0.0,0.0,0.0,25.5079994,25.5079994,25.5079994,25.5079994,25.5079994,25.5079994,18.4249992,18.4249992,18.4249992,18.4249992,18.4249992,18.4249992,1.23000002,1.23000002,1.23000002,1.23000002,1.23000002,1.23000002,5.11000013,5.11000013,5.11000013,5.11000013,5.11000013,5.11000013,95.0,95.0,95.0,95.0,95.0,95.0,0.35,0.35,0.35,0.35,0.35,0.35,1886.0,1886.0,1886.0,1886.0,1886.0,1886.0
Altona,695.0,7,3,2023,0.0,18.4249992,34.0,27.0,95.0,5.11000013,1886.0,1.23000002,9.69323921,43.8510017,0.00484976685,1.23000002,25.5079994,1.23000002,0.35,1.23000002,8.79899979,0,0.0,0.0,0.0,0.0,0.0,0.0,25.5079994,25.5079994,25.5079994,25.5079994,25.5079994,25.5079994,18.4249992,18.4249992,18.4249992,18.4249992,18.4249992,18.4249992,1.23000002,1.23000002,1.23000002,1.23000002,1.23000002,1.23000002,5.11000013,5.11000013,5.11000013,5.11000013,5.11000013,5.11000013,95.0,95.0,95.0,95.0,95.0,95.0,0.35,0.35,0.35,0.35,0.35,0.35,1886.0,1886.0,1886.0,1886.0,1886.0,1886.0
Altona,695.0,7,4,2023,0.0,18.4249992,34.0,27.0,95.0,5.11000013,1886.0,1.23000002,9.69323921,43.8510017,0.00484976685,1.23000002,25.5079994,1.23000002,0.35,1.23000002,8.79899979,0,0.0,0.0,0.0,0.0,0.0,0.0,25.5079994,25.5079994,25.5079994,25.5079994,25.5079994,25.5079994,18.4249992,18.4249992,18.4249992,18.4249992,18.4249992,18.4249992,1.23000002,1.23000002,1.23000002,1.23000002,1.23000002,1.23000002,5.11000013,5.11000013,5.11000013,5.11000013,5.11000013,5.11000013,95.0,95.0,95.0,95.0,95.0,95.0,0.35,0.35,0.35,0.35,0.35,0.35,1886.0,1886.0,1886.0,1886.0,1886.0,1886.0
Altona,695.0,7,5,2023,0.0,18.4249992,34.0,27.0,95.0,5.11000013,1886.0,1.23000002,9.69323921,43.8510017,0.00484976685,1.23000002,25.5079994,1.23000002,0.35,1.23000002,8.79899979,0,0.0,0.0,0.0,0.0,0.0,0.0,25.5079994,25.5079994,25.5079994,25.5079994,25.5079994,25.5079994,18.4249992,18.4249992,18.4249992,18.4249992,18.4249992,18.4249992,1.23000002,1.23000002,1.23000002,1.23000002,1.23000002,1.23000002,5.11000013,5.11000013,5.11000013,5.11000013,5.11000013,5.11000013,95.0,95.0,95.0,95.0,95.0,95.0,0.35,0.35,0.35,0.35,0.35,0.35,1886.0,1886.0,1886.0,1886.0,1886.0,1886.0
Altona,695.0,7,6,2023,0.0,18.4249992,34.0,27.0,95.0,5.11000013,1886.0,1.23000002,9.69323921,43.8510017,0.00484976685,1.23000002,25.5079994,1.23000002,0.35,1.23000002,8.79899979,0,0.0,0.0,0.0,0.0,0.0,0.0,25.5079994,25.5079994,25.5079994,25.5079994,25.5079994,25.5079994,18.4249992,18.4249992,18.4249992,18.4249992,18.4249992,18.4249992,1.23000002,1.23000002,1.23000002,1.23000002,1.23000002,1.23000002,5.11000013,5.11000013,5.11000013,5.11000013,5.11000013,5.11000013,95.0,95.0,95.0,95.0,95.0,95.0,0.35,0.35,0.35,0.35,0.35,0.35,1886.0,1886.0,1886.0,1886.0,1886.0,1886.0
Altona,695.0,7,7,2023,0.0,18.4249992,34.0,27.0,95.0,5.11000013,1886.0,1.23000002,9.69323921,43.8510017,0.00484976685,1.23000002,25.5079994,1.23000002,0.35,1.23000002,8.79899979,0,0.0,0.0,0.0,0.0,0.0,0.0,25.5079994,25.5079994,25.5079994,25.5079994,25.5079994,25.5079994,18.4249992,18.4249992,18.4249992,18.4249992,18.4249992,18.4249992,1.23000002,1.23000002,1.23000002,1.23000002,1.23000002,1.23000002,5.11000013,5.11000013,5.11000013,5.11000013,5.11000013,5.11000013,95.0,95.0,95.0,95.0,95.0,95.0,0.35,0.35,0.35,0.35,0.35,0.35,1886.0,1886.0,1886.0,1886.0,1886.0,1886.0
Altona,695.0,7,8,2023,0.0,18.4249992,34.0,27.0,95.0,5.11000013,1886.0,1.23000002,9.69323921,43.8510017,0.00484976685,1.23000002,25.5079994,1.23000002,0.35,1.23000002,8.79899979,0,0.0,0.0,0.0,0.0,0.0,0.0,25.5079994,25.5079994,25.5079994,25.5079994,25.5079994,25.5079994,18.4249992,18.4249992,18.4249992,18.4249992,18.4249992,18.4249992,1.23000002,1.23000002,1.23000002,1.23000002,1.23000002,1.23000002,5.11000013,5.11000013,5.11000013,5.11000013,5.11000013,5.11000013,95.0,95.0,95.0,95.0,95.0,95.0,0.35,0.35,0.35,0.35,0.35,0.35,1886.0,1886.0,1886.0,1886.0,1886.0,1886.0
Altona,695.0,7,9,2023,0.0,18.4249992,34.0,27.0,95.0,5.11000013,1886.0,1.23000002,9.69323921,43.8510017,0.00484976685,1.23000002,25.5079994,1.23000002,0.35,1.23000002,8.79899979,0,0.0,0.0,0.0,0.0,0.0,0.0,25.5079994,25.5079994,25.5079994,25.5079994,25.5079994,25.5079994,18.4249992,18.4249992,18.4249992,18.4249992,18.4249992,18.4249992,1.23000002,1.23000002,1.23000002,1.23000002,1.23000002,1.23000002,5.11000013,5.11000013,5.11000013,5.11000013,5.11000013,5.11000013,95.0,95.0,95.0,95.0,95.0,95.0,0.35,0.35,0.35,0.35,0.35,0.35,1886.0,1886.0,1886.0,1886.0,1886.0,1886.0
Altona,695.0,7,10,2023,0.0,18.4249992,34.0,27.0,95.0,5.11000013,1886.0,1.23000002,9.69323921,43.8510017,0.00484976685,1.23000002,25.5079994,1.23000002,0.35,1.23000002,8.79899979,0,0.0,0.0,0.0,0.0,0.0,0.0,25.5079994,25.5079994,25.5079994,25.5079994,25.5079994,25.5079994,18.4249992,18.4249992,18.4249992,18.4249992,18.4249992,18.4249992,1.23000002,1.23000002,1.23000002,1.23000002,1.23000002,1.23000002,5.11000013,5.11000013,5.11000013,5.11000013,5.11000013,5.11000013,95.0,95.0,95.0,95.0,95.0,95.0,0.35,0.35,0.35,0.35,0.35,0.35,1886.0,1886.0,1886.0,1886.0,1886.0,1886.0
